Player ID,Name,Last Name,Cost Today,Form,Position,Team,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Points,Points/Game,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Chance Of Playing Next,Total Cost Change,Cost Change GW,Total Transfers Out,Transfers Out GW,Total Transfers in,Transfers in GW,Influence,Creativity,Threat,ICT Index,Last GW,GW38,GW39,GW40,GW41,GW42,GW43,Difficulty Score,Cost Today,Total Cost Change,Cost Change GW,Position,Team,Index,xGi,xGc
42,Lucas,Digne,£4.60,1.5,DEF,Aston Villa,3,1,4,6,1,86,2.7,5,412,36,2315,6,0,0,0,0,100,£0.10,£0.00,1022147,2199,1170568,2945,424.6,562.4,200,118.8,37,CRY (A),,,,,,2,46,1,0,2,7,0.75,0.16,1.52
43,Douglas Luiz,Douglas Luiz,£5.40,1.2,MID,Aston Villa,4.9,9,5,6,2,147,4.3,25,652,52,2904,11,0,0,0,0,100,-£0.10,£0.00,2958616,4170,3146826,1593,755.4,837.2,381,197.5,37,CRY (A),,,,,,2,54,-1,0,3,7,0.6,0.35,1.56
44,Jhon,Duran,£5.00,3.8,FWD,Aston Villa,0.2,5,1,0,12,48,2.2,7,159,7,371,5,0,0,0,0,100,£0.00,£0.00,59010,160,62131,1309,190.2,43.9,154,38.1,37,CRY (A),,,,,,2,50,0,0,4,7,1.9,0.52,2.11
45,Kortney,Hause,£3.90,0,DEF,Aston Villa,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-£0.10,£0.00,23572,108,17595,112,0,0,0,0,37,CRY (A),,,,,,2,39,-1,0,2,7,0,0,0
46,Tim,Iroegbunam,£4.40,0.2,MID,Aston Villa,0,0,0,0,0,9,1.1,0,28,6,135,0,0,0,0,0,100,-£0.10,£0.00,4461,4,2141,14,18.6,3.6,0,2.1,37,CRY (A),,,,,,2,44,-1,0,3,7,0.1,0,3.08
47,Boubacar,Kamara,£5.00,0,MID,Aston Villa,0.1,0,1,7,0,40,2,1,247,22,1653,7,1,0,0,0,0,£0.00,£0.00,21131,20,15889,10,256.2,292.7,44,59.1,37,CRY (A),,,,,,2,50,0,0,3,7,0,0.09,1.34
48,Ezri,Konsa,£4.50,1.5,DEF,Aston Villa,2.3,1,1,7,1,91,2.7,7,557,49,2979,5,0,0,0,0,100,£0.00,£0.00,505543,2789,611860,1664,549,169.4,219,93.9,37,CRY (A),,,,,,2,45,0,0,2,7,0.75,0.11,1.5
49,Emiliano,Martinez,£5.20,1,GK,Aston Villa,10.6,0,0,8,0,115,3.4,19,640,48,3015,4,0,95,0,0,100,£0.20,£0.00,1462749,5908,1663932,4716,802,20,0,82.2,37,CRY (A),,,,,,2,52,2,0,1,7,0.5,0,1.49
50,John,McGinn,£5.30,2.5,MID,Aston Villa,0.9,6,5,7,1,118,3.5,9,499,49,2914,8,1,0,0,0,100,-£0.20,£0.00,339819,624,359770,395,638.6,689.2,360,169.1,37,CRY (A),,,,,,2,53,-2,0,3,7,1.25,0.3,1.46
51,Tyrone,Mings,£4.10,0,DEF,Aston Villa,1.1,0,0,0,0,0,0,0,5,2,30,0,0,0,0,0,0,-£0.40,£0.00,1079024,159,11130,27,3.6,13,5,2.2,37,CRY (A),,,,,,2,41,-4,0,2,7,0,0.51,3.24
53,Robin,Olsen,£3.90,3,GK,Aston Villa,0.6,0,0,0,0,16,4,3,87,8,315,0,0,17,1,0,100,-£0.10,£0.00,67309,389,41288,587,160.6,0,0,16.1,37,CRY (A),,,,,,2,39,-1,0,1,7,1.5,0,2.16
54,Jaden,Philogene,£4.50,0,MID,Aston Villa,0,0,0,0,0,1,1,0,3,1,3,0,0,0,0,0,0,£0.00,£0.00,14781,5,3755,0,0.4,0.3,2,0.3,37,CRY (A),,,,,,2,45,0,0,3,7,0,0,19.5
55,Jacob,J.Ramsey,£5.90,0,MID,Aston Villa,0.1,1,1,0,0,29,1.8,0,101,12,848,2,0,0,0,0,0,-£0.10,£0.00,31214,35,23244,40,124,159.3,182,46.7,37,CRY (A),,,,,,2,59,-1,0,3,7,0,0.37,1.36
